year,date,cardinal_direction_seq,classification_seq,hour_00,hour_01,hour_02,hour_03,hour_04,hour_05,hour_06,hour_07,hour_08,hour_09,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,public_holiday,school_holiday
2009,6/01/2009,Northbound,All Vehicles,89,46,29,43,65,275,976,1632,2047,1361,1014,952,861,792,854,871,911,1145,933,565,439,373,293,194,0,1
2009,6/01/2009,Southbound,All Vehicles,143,78,67,46,65,222,531,862,1041,919,924,1001,1025,1115,1128,1502,1617,2223,1696,975,625,617,487,307,0,1
2009,7/01/2009,Northbound,Light Vehicles,80,56,24,35,67,254,941,1573,2063,1308,934,863,802,811,793,863,904,1069,944,602,364,392,313,186,0,1
2009,7/01/2009,Southbound,Heavy Vehicles,7,7,6,12,10,15,22,36,49,43,47,47,71,44,47,46,31,33,16,11,8,9,6,2,0,1
2009,7/01/2009,Southbound,Light Vehicles,171,95,59,45,67,171,484,875,1025,890,890,920,973,959,1135,1437,1721,2226,1613,873,630,624,570,285,0,1
2009,7/01/2009,Northbound,Heavy Vehicles,9,9,18,6,11,12,46,69,76,53,33,41,29,30,27,28,21,22,12,7,5,5,4,1,0,1
2009,7/01/2009,Northbound,All Vehicles,89,65,42,41,78,266,987,1642,2139,1361,967,904,831,841,820,891,925,1091,956,609,369,397,317,187,0,1
2009,7/01/2009,Southbound,All Vehicles,178,102,65,57,77,186,506,911,1074,933,937,967,1044,1003,1182,1483,1752,2259,1629,884,638,633,576,287,0,1
2009,8/01/2009,Southbound,Heavy Vehicles,4,1,4,1,6,19,23,28,40,47,77,57,56,53,45,34,47,38,24,14,5,11,3,4,0,1
2009,8/01/2009,Northbound,Heavy Vehicles,2,5,6,5,11,20,52,66,50,68,77,40,41,45,33,18,35,18,14,7,5,3,1,4,0,1
2009,8/01/2009,Southbound,Light Vehicles,167,84,62,60,63,163,530,840,1042,842,960,1028,983,968,1132,1502,1660,2107,1699,921,631,646,494,314,0,1
2009,8/01/2009,Northbound,Light Vehicles,80,50,20,37,72,231,867,1603,2047,1307,929,868,822,864,782,875,1010,1098,949,588,386,366,306,193,0,1
2009,8/01/2009,Southbound,All Vehicles,171,85,66,61,69,182,553,868,1082,889,1037,1085,1039,1021,1177,1536,1707,2145,1723,935,636,657,497,318,0,1
2009,8/01/2009,Northbound,All Vehicles,82,55,26,42,83,251,919,1669,2097,1375,1006,908,863,909,815,893,1045,1116,963,595,391,369,307,197,0,1
2009,9/01/2009,Northbound,Heavy Vehicles,3,6,8,7,8,19,51,71,63,49,54,45,44,39,34,22,24,15,11,9,8,5,2,2,0,1
2009,9/01/2009,Northbound,Light Vehicles,82,52,27,33,74,255,899,1510,2018,1275,924,909,894,913,895,948,1008,1143,928,626,401,382,336,301,0,1
2009,9/01/2009,Southbound,Heavy Vehicles,4,2,2,2,6,11,28,31,47,59,42,59,66,47,47,36,34,32,25,13,5,11,5,3,0,1
2009,9/01/2009,Southbound,Light Vehicles,195,91,86,62,79,175,488,817,1023,928,955,1071,1115,1013,1257,1469,1685,2205,1619,930,643,507,593,454,0,1
2009,9/01/2009,Northbound,All Vehicles,85,58,35,40,82,274,950,1581,2081,1324,978,954,938,952,929,970,1032,1158,939,635,409,387,338,303,0,1
